2026-03-01 21:20:02,325 | INFO | phase2.cli | Logs writing to C:\Users\garre\Desktop\P2\New folder\phase2\artifacts\logs\phase2.log
2026-03-01 21:20:02,329 | INFO | phase2.pipeline | Layout ready. Created 0 directories.
2026-03-01 21:24:20,188 | INFO | phase2.config | Loaded config from C:\Users\garre\Desktop\P2\New folder\phase2\configs\experiments\default.yaml
2026-03-01 21:24:20,189 | INFO | phase2.cli | Logs writing to C:\Users\garre\Desktop\P2\New folder\phase2\artifacts\logs\phase2.log
2026-03-01 21:24:45,169 | INFO | phase2.config | Loaded config from C:\Users\garre\Desktop\P2\New folder\phase2\configs\experiments\default.yaml
2026-03-01 21:24:45,169 | INFO | phase2.cli | Logs writing to C:\Users\garre\Desktop\P2\New folder\phase2\artifacts\logs\phase2.log
2026-03-01 21:28:24,660 | INFO | phase2.config | Loaded config from C:\Users\garre\Desktop\P2\New folder\phase2\configs\experiments\default.yaml
2026-03-01 21:28:24,660 | INFO | phase2.cli | Logs writing to C:\Users\garre\Desktop\P2\New folder\phase2\artifacts\logs\phase2.log
2026-03-01 21:35:19,737 | INFO | phase2.config | Loaded config from C:\Users\garre\Desktop\P2\New folder\phase2\configs\experiments\default.yaml
2026-03-01 21:35:19,738 | INFO | phase2.cli | Logs writing to C:\Users\garre\Desktop\P2\New folder\phase2\artifacts\logs\phase2.log
2026-03-01 21:36:50,942 | INFO | phase2.config | Loaded config from C:\Users\garre\Desktop\P2\New folder\phase2\configs\experiments\default.yaml
2026-03-01 21:36:50,942 | INFO | phase2.cli | Logs writing to C:\Users\garre\Desktop\P2\New folder\phase2\artifacts\logs\phase2.log
2026-03-01 21:42:09,617 | INFO | phase2.config | Loaded config from C:\Users\garre\Desktop\P2\New folder\phase2\configs\experiments\default.yaml
2026-03-01 21:42:09,618 | INFO | phase2.cli | Logs writing to C:\Users\garre\Desktop\P2\New folder\phase2\artifacts\logs\phase2.log
2026-03-01 21:48:20,953 | INFO | phase2.config | Loaded config from C:\Users\garre\Desktop\P2\New folder\phase2\configs\experiments\default.yaml
2026-03-01 21:48:20,954 | INFO | phase2.cli | Logs writing to C:\Users\garre\Desktop\P2\New folder\phase2\artifacts\logs\phase2.log
2026-03-01 21:49:04,945 | INFO | phase2.config | Loaded config from C:\Users\garre\Desktop\P2\New folder\phase2\configs\experiments\default.yaml
2026-03-01 21:49:04,945 | INFO | phase2.cli | Logs writing to C:\Users\garre\Desktop\P2\New folder\phase2\artifacts\logs\phase2.log
2026-03-01 21:49:22,565 | INFO | phase2.config | Loaded config from C:\Users\garre\Desktop\P2\New folder\phase2\configs\experiments\default.yaml
2026-03-01 21:49:22,566 | INFO | phase2.cli | Logs writing to C:\Users\garre\Desktop\P2\New folder\phase2\artifacts\logs\phase2.log
2026-03-01 21:50:14,140 | INFO | phase2.config | Loaded config from C:\Users\garre\Desktop\P2\New folder\phase2\configs\experiments\default.yaml
2026-03-01 21:50:14,140 | INFO | phase2.cli | Logs writing to C:\Users\garre\Desktop\P2\New folder\phase2\artifacts\logs\phase2.log
2026-03-01 22:02:16,896 | INFO | phase2.config | Loaded config from C:\Users\garre\Desktop\P2\New folder\phase2\configs\experiments\default.yaml
2026-03-01 22:02:16,897 | INFO | phase2.cli | Logs writing to C:\Users\garre\Desktop\P2\New folder\phase2\artifacts\logs\phase2.log
2026-03-01 22:03:06,378 | INFO | phase2.config | Loaded config from C:\Users\garre\Desktop\P2\New folder\phase2\configs\experiments\default.yaml
2026-03-01 22:03:06,378 | INFO | phase2.cli | Logs writing to C:\Users\garre\Desktop\P2\New folder\phase2\artifacts\logs\phase2.log
2026-03-01 22:07:47,273 | INFO | phase2.config | Loaded config from C:\Users\garre\Desktop\P2\New folder\phase2\configs\experiments\default.yaml
2026-03-01 22:07:47,273 | INFO | phase2.cli | Logs writing to C:\Users\garre\Desktop\P2\New folder\phase2\artifacts\logs\phase2.log
2026-03-01 22:07:58,893 | INFO | phase2.config | Loaded config from C:\Users\garre\Desktop\P2\New folder\phase2\configs\experiments\default.yaml
2026-03-01 22:07:58,893 | INFO | phase2.cli | Logs writing to C:\Users\garre\Desktop\P2\New folder\phase2\artifacts\logs\phase2.log
2026-03-01 22:07:58,991 | INFO | phase2.pipeline | RQ1 evaluation completed: {'status': 'ok', 'output_csv': 'C:\\Users\\garre\\Desktop\\P2\\New folder\\artifacts\\rq1_summary.csv', 'per_case_dir': 'C:\\Users\\garre\\Desktop\\P2\\New folder\\artifacts\\rq1_cases', 'rows_written': 2, 'approach_pass_rates': {'healing': 0.0, 'regen': None}, 'with_ast_similarity': False}
2026-03-01 22:09:02,044 | INFO | phase2.config | Loaded config from C:\Users\garre\Desktop\P2\New folder\phase2\configs\experiments\default.yaml
